cpf,nome,equipe,turno,contato
57969761925,João Felipe Campos,Transporte A,Noite,191712173
93373567912,Srta. Caroline Ramos,Transporte A,Manhã,26574134
00666884935,Sabrina da Cruz,Equipe B,Manhã,203399814
44145183428,Yago Alves,Transporte A,Tarde,77546492
41344788122,Caio Sales,Equipe D,Manhã,018481632
31237192510,Srta. Maria Sophia Pinto,Equipe C,Manhã,143952853
07511812180,Laura Ramos,Equipe C,Manhã,968550577
83556659107,Sophie da Conceição,Equipe D,Tarde,138064063
72812681063,Pedro Costela,Manutenção A,Noite,601460496
69617176750,Davi Correia,Equipe B,Noite,52918176
24582859534,Nicole Duarte,Transporte A,Tarde,26306825
68767685978,Srta. Eduarda Barbosa,Gerencia B,Manhã,381879271
21847438016,Lara Monteiro,Gerencia A,Manhã,84980718
70879806613,Dr. Pedro da Rosa,Gerencia A,Noite,670665405
07647936166,Otávio da Paz,Transporte A,Noite,67766121
50640062768,Gabriel Carvalho,Equipe C,Tarde,160509502
84763461583,Stella Santos,Transporte A,Tarde,76023035
21624516203,Bryan Barbosa,Gerencia A,Manhã,45560831
13220750265,Natália Lima,Gerencia C,Manhã,950866620
96043610663,Sr. Davi Lucas Cardoso,Equipe D,Noite,69213239
65529209700,Vitor Hugo Rodrigues,Gerencia B,Manhã,93020528
25071798050,Mirella da Costa,Equipe D,Tarde,554492625
40785559426,Sra. Valentina da Mata,Equipe D,Tarde,40968737
54996147334,Dra. Camila Moraes,Manutenção A,Noite,87894553
04257695935,Sra. Sofia Barros,Equipe A,Manhã,792014857
49899129933,Olivia Cardoso,Transporte A,Tarde,04472291
69604887025,Ana Clara Santos,Gerencia C,Tarde,472071518
99015522065,Sr. Nicolas Rezende,Gerencia B,Manhã,11850976
43309602303,Theo Moura,Equipe C,Noite,098054886
19646935605,Luna Ramos,Manutenção A,Noite,05273306
10934118213,Gabriela Moreira,Equipe A,Manhã,78585739
34097581350,Alana da Conceição,Manutenção A,Manhã,988450637
07857058130,Juan da Rocha,Equipe A,Tarde,61903408
31889651842,Vinicius Rocha,Manutenção A,Noite,65109823
60608165689,Mirella Barros,Equipe C,Tarde,27864203
94685488300,Caroline Teixeira,Gerencia C,Noite,45324225
27530405837,Srta. Giovanna Duarte,Equipe B,Tarde,55652361
80064097900,Luiza Correia,Manutenção A,Tarde,024294834
59990737665,Vitor Teixeira,Equipe A,Manhã,30649255
28643160997,João Miguel Moraes,Equipe C,Tarde,37202744
88933854223,Dra. Clara Costa,Gerencia A,Manhã,876031505
64417438501,Luiz Miguel Viana,Gerencia C,Tarde,444979717
75174763942,Helena Vieira,Equipe A,Tarde,50080422
83740049910,Melissa Jesus,Equipe D,Tarde,23455880
90025090739,Larissa da Rocha,Gerencia B,Tarde,548754969
35229603275,Vicente Cunha,Gerencia B,Manhã,999436737
85210116018,Brenda Ribeiro,Equipe D,Manhã,74723849
82606623967,Cauã Almeida,Gerencia B,Noite,52565939
17050791563,Maria Cecília Moreira,Manutenção A,Noite,16646691
94100176880,Sra. Cecília Carvalho,Manutenção A,Manhã,27603423
49144127138,Pedro Miguel Duarte,Equipe D,Noite,44924826
46487611204,Ana Beatriz Fernandes,Equipe C,Manhã,977757965
64286660303,Rafael Mendes,Equipe C,Tarde,99165700
45118924316,Fernando Porto,Transporte A,Noite,14711728
71361634634,João Vitor Azevedo,Gerencia B,Manhã,523861329
96298243534,Yuri Rezende,Equipe B,Tarde,772847407
22421177936,Joaquim Pereira,Gerencia B,Noite,39067348
44027357000,Luiz Miguel da Mata,Gerencia B,Manhã,90758146
07772479506,Anthony Cardoso,Manutenção A,Manhã,32240791
16992660934,Fernanda Azevedo,Transporte A,Noite,87802351
28812183344,Levi da Costa,Equipe D,Manhã,62819741
47242283779,Kamilly Vieira,Equipe C,Tarde,20830138
34193970620,João Guilherme Silva,Manutenção A,Noite,11723481
41649835744,Júlia Pereira,Gerencia C,Tarde,08689571
37808368903,Maria Duarte,Gerencia C,Manhã,708177795
86010836255,Sr. Eduardo Ferreira,Gerencia B,Manhã,44191083
84886007392,Ana Beatriz Lima,Equipe D,Tarde,63719614
46763749090,Marcela Ramos,Manutenção A,Manhã,547996596
01097410994,Ana Sophia da Costa,Gerencia B,Tarde,608841138
33941278304,João Gabriel Porto,Equipe D,Noite,248267532
51582170681,Camila Cardoso,Equipe C,Noite,690325451
54401801172,Maria Alice das Neves,Equipe B,Manhã,30619773
62446349854,Luiz Miguel Viana,Transporte A,Noite,419916725
43673797441,Kevin Aragão,Equipe C,Tarde,57013347
71605493333,Sr. Gustavo Henrique Mendes,Equipe C,Noite,71813695
88661421233,Eduardo da Rocha,Equipe A,Manhã,71851674
81952181216,Sra. Luiza Vieira,Manutenção A,Tarde,825593508
45648998643,Bruna Azevedo,Gerencia B,Tarde,161695950
49515131375,Dr. Kaique Costa,Gerencia A,Manhã,93680527
23199117740,Rafael Freitas,Gerencia B,Tarde,32992394
06641542637,Ana Laura Rezende,Equipe B,Tarde,020139767
10974320684,Cecília Barbosa,Equipe B,Tarde,76377867
48894054101,Luiza Martins,Transporte A,Tarde,91479348
20092987303,Erick Pires,Manutenção A,Manhã,91803898
74616321086,Stella Cunha,Gerencia A,Manhã,07781545
80713905344,Pietra Aragão,Equipe C,Manhã,61393418
96610531030,Arthur Dias,Gerencia A,Noite,433377072
73926951508,Elisa Aragão,Equipe A,Tarde,944582776
47039699800,Dr. João Vitor Caldeira,Equipe A,Tarde,497737310
56194317469,João Miguel Monteiro,Equipe D,Tarde,04732169
09349406578,Cecília da Mota,Equipe C,Noite,010997992
30681454733,Yuri da Costa,Equipe A,Manhã,274970340
09731532455,Melissa Cardoso,Manutenção A,Manhã,37727366
91691321940,Nina Correia,Manutenção A,Noite,972123469
53033732828,Guilherme Cardoso,Equipe A,Noite,27374266
73979443370,Ana Sophia Aragão,Gerencia B,Noite,472172113
82713253969,Maria Sophia Viana,Gerencia B,Noite,34233690
25110957347,Luiz Felipe Pereira,Gerencia B,Noite,632516849
53527458565,Melissa Duarte,Equipe D,Noite,97707919
28000380200,Alexia Melo,Equipe B,Noite,270362886
59883798180,Maria Vitória da Cruz,Gerencia C,Manhã,529929318
77681940200,Felipe da Cruz,Gerencia A,Manhã,57894973
54131589710,Pietra Cardoso,Equipe C,Manhã,170343591
46600341009,Bruno Nunes,Gerencia C,Noite,578620033
44662872014,Bianca da Cruz,Manutenção A,Manhã,23754227
37936500731,Sr. Kevin Jesus,Manutenção A,Manhã,48322098
27144193139,João Miguel Duarte,Manutenção A,Tarde,96470953
05038757910,Anthony Aragão,Gerencia A,Noite,09465297
59706112715,Laís Costa,Equipe B,Manhã,106322584
12190496977,Raul Costa,Equipe D,Noite,89034539
46297976023,Helena Jesus,Equipe D,Noite,595303123
33563385289,Emanuelly Gonçalves,Gerencia B,Noite,41580813
96951148570,Caio Campos,Equipe D,Tarde,314280177
73750923540,Ana Lívia Pinto,Gerencia C,Manhã,78530659
51549346016,Natália Carvalho,Gerencia A,Noite,17795593
08282563730,Beatriz Caldeira,Gerencia B,Noite,02570886
73013557427,Sr. Luiz Miguel Almeida,Equipe B,Noite,72197110
10690821204,Dr. Renan Oliveira,Gerencia B,Noite,427046341
76539229615,Maria Peixoto,Transporte A,Noite,113896661
26918193457,Sra. Manuela das Neves,Equipe B,Tarde,75975905
86185787113,Maria Dias,Equipe D,Tarde,149779964
72435201540,Carlos Eduardo Cardoso,Equipe D,Tarde,57409950
64306945693,Bruno Aragão,Equipe A,Noite,204309878
20422484520,Letícia da Costa,Equipe D,Noite,928778764
86242585960,Renan Teixeira,Gerencia C,Manhã,85078246
39777647131,Maria Costa,Gerencia B,Manhã,65360056
22468399633,Luiz Fernando Peixoto,Gerencia C,Tarde,92671078
04477347847,Lorena Campos,Equipe C,Noite,75385657
17550030995,Samuel Pinto,Transporte A,Tarde,30940004
65529304451,Kaique da Mota,Gerencia B,Manhã,44807451
88852061665,Emanuel Dias,Transporte A,Noite,95284483
99469808436,Ana Porto,Manutenção A,Tarde,26639469
57714207272,Bryan Sales,Equipe C,Noite,202356695
24694985973,Rafael Moreira,Equipe B,Noite,112547556
51706652020,Gustavo Pires,Manutenção A,Manhã,00615914
91122267851,Rodrigo Costa,Transporte A,Manhã,93405184
45752246695,Ana Sophia Azevedo,Equipe A,Manhã,31808074
26601168653,Ana Beatriz Campos,Gerencia C,Manhã,599559043
93859261010,Sofia Cardoso,Gerencia A,Manhã,63281471
91956490264,Ana Lívia Ribeiro,Equipe A,Manhã,59535572
98887475687,Cecília Gonçalves,Equipe D,Noite,430443487
75342348404,Rafael Lopes,Manutenção A,Tarde,34674993
28345547141,Esther da Rosa,Gerencia B,Tarde,739516140
56281383478,Diogo Teixeira,Equipe A,Manhã,97199262
74068377987,Sarah Porto,Manutenção A,Noite,104057032
75033388819,Giovanna Porto,Gerencia A,Noite,858851788
33109946785,Agatha Pinto,Equipe A,Manhã,46326038
67798892370,Heloísa Lima,Equipe B,Noite,288853292
48202754534,João Miguel Lima,Equipe C,Tarde,35068050
79920225053,Luiza Silva,Equipe B,Tarde,83954385
70812145925,Lorenzo Moraes,Equipe C,Noite,63707308
85904945000,Isis Campos,Equipe B,Noite,613114588
38082730706,Vinicius Viana,Equipe D,Manhã,994317017
33100154240,Manuela da Rosa,Equipe B,Tarde,30716966
04356889878,Ana Clara Costela,Manutenção A,Noite,852198845
97221101442,Letícia Souza,Transporte A,Noite,359433964
89831910150,Eduarda Sales,Transporte A,Manhã,97801901
50625284968,Gabrielly Silveira,Equipe D,Tarde,96762937
70635065525,Vitor Gabriel Correia,Equipe A,Tarde,982577015
64350158561,Srta. Manuela da Mata,Equipe C,Manhã,62916140
20681080540,Ryan Jesus,Equipe A,Manhã,99068442
02936604176,Caio Barros,Gerencia B,Noite,085288145
73628008190,Daniel Nogueira,Equipe C,Tarde,59849856
60249266504,Clara Rezende,Gerencia B,Manhã,34669689
60721111149,Vinicius Moraes,Gerencia B,Manhã,393754416
48992436424,Breno Costela,Equipe C,Manhã,88255831
61491472316,Enrico Santos,Equipe C,Manhã,77648676
58199682477,Calebe Oliveira,Equipe B,Tarde,037150893
16263817470,Emilly Cavalcanti,Manutenção A,Tarde,85690130
79511331833,Diogo da Conceição,Gerencia C,Tarde,19238772
34822585204,Rafaela Gomes,Equipe B,Manhã,185452831
22086654812,Francisco Silva,Manutenção A,Noite,69621371
35580284144,Clara Cardoso,Gerencia A,Manhã,09462358
13773549466,Camila Freitas,Equipe B,Manhã,27030459
43290715507,Dr. Guilherme da Luz,Transporte A,Noite,39155873
63702319832,Leandro Dias,Equipe D,Noite,377110851
06894601208,Maysa Aragão,Equipe A,Tarde,355497349
30588261254,Stephany Barros,Equipe A,Noite,51094086
70751635669,Pedro Henrique Silveira,Equipe B,Noite,70094753
60199686505,Sra. Eloah Pinto,Transporte A,Noite,83794374
22140829301,Marcelo Azevedo,Gerencia B,Noite,59030444
03187650040,Sra. Evelyn Rodrigues,Equipe C,Tarde,07147648
84566028763,Sr. Emanuel Melo,Gerencia A,Tarde,36262537
03793633721,Enzo Campos,Gerencia A,Manhã,72396644
06679596530,Juan da Rosa,Transporte A,Noite,12711492
95152801760,Carlos Eduardo Viana,Gerencia B,Noite,22346358
54701790958,Isaac Almeida,Equipe B,Noite,41438341
45847663633,Srta. Alícia Fernandes,Equipe B,Noite,109050543
17069169817,Yasmin Sales,Equipe A,Tarde,72378459
48245515019,Sr. Anthony Lopes,Gerencia C,Manhã,24687020
30269782303,Elisa Caldeira,Equipe B,Noite,290057913
16261851077,Dr. Rodrigo Cardoso,Equipe B,Manhã,532052728
37390144661,Dr. Joaquim Azevedo,Equipe C,Noite,028993307
34817065370,Letícia Novaes,Manutenção A,Tarde,62777946
96746597229,Luana Farias,Equipe C,Noite,769061775
54743703182,Cauã Silveira,Gerencia A,Manhã,444088422
56629582977,João Vitor Freitas,Gerencia A,Noite,563355858
54521590888,Alana Dias,Equipe B,Noite,03673761
05190432351,Marina Araújo,Gerencia A,Noite,491514519
59254801046,Bárbara Alves,Gerencia B,Tarde,85044044
51192731735,Vitor Hugo da Cruz,Equipe B,Noite,221003950
85029879846,Sr. Thomas Ribeiro,Manutenção A,Tarde,637775720
01881697843,Leonardo Costela,Gerencia A,Noite,72100087
76427990128,Mirella Moraes,Manutenção A,Tarde,993984303
62118995563,Ian Duarte,Equipe D,Manhã,39237998
12995378390,Srta. Isis Nunes,Transporte A,Manhã,579059485
36255650308,Larissa Lopes,Equipe C,Manhã,36996001
31149272201,Emanuel Costela,Gerencia B,Tarde,82010396
37171635821,Catarina Azevedo,Equipe C,Manhã,16689980
48005646119,Sra. Lívia Costa,Gerencia C,Noite,352022976
59469269349,Srta. Luna Gomes,Gerencia C,Tarde,58509635
11422998215,Manuela das Neves,Equipe D,Noite,59223456
06324190757,Isaac Porto,Gerencia A,Noite,28651979
62323978276,Luiz Otávio Moreira,Equipe D,Manhã,19678625
09782036404,Bryan da Mota,Equipe A,Tarde,92413994
98855022547,Otávio Silveira,Equipe B,Tarde,648194128
29627460044,Luiz Fernando Rocha,Equipe C,Manhã,18464795
57328316730,Vitor Hugo Correia,Gerencia C,Noite,63232311
51924504464,Isabella Ferreira,Gerencia B,Noite,59812544
75176078988,Marcela Silva,Equipe B,Manhã,44526452
18040802415,Bruna da Mata,Gerencia B,Tarde,832188901
92429675994,Carolina Gomes,Manutenção A,Tarde,22440775
33209664480,Lorenzo da Rocha,Gerencia B,Noite,110286882
94917626218,Helena Pires,Gerencia A,Manhã,44482794
49681295307,Lorenzo Monteiro,Gerencia A,Tarde,532989340
32502606730,Julia Mendes,Equipe A,Manhã,59254549
11103717480,Laís Rezende,Transporte A,Noite,31390056
82288743409,Dr. João Lucas Teixeira,Equipe A,Noite,193351318
64072942820,André Rodrigues,Equipe B,Manhã,780954781
30319578810,Luiza Moura,Gerencia B,Manhã,695450152
13620806756,Dr. Davi Luiz Barros,Equipe B,Noite,20169097
35951144000,Heitor Nascimento,Equipe A,Manhã,97681064
71076075029,João Vitor da Rosa,Gerencia B,Manhã,48091422
25871650082,Maria Luiza Rezende,Gerencia A,Manhã,80009385
57953546353,Dra. Sarah da Paz,Manutenção A,Manhã,25694280
40388961880,Dr. Kaique Teixeira,Gerencia C,Tarde,00375201
72904038000,Lorena das Neves,Equipe D,Noite,53814583
42046774108,Isabelly Costela,Equipe C,Noite,63012813
62959539567,Letícia Caldeira,Gerencia B,Noite,79075641
22017360228,Sr. Luiz Miguel Moreira,Equipe C,Manhã,37055552
31908423374,Maria Eduarda Ribeiro,Equipe C,Manhã,20423695
67838830940,Paulo Almeida,Gerencia B,Tarde,975065501
30562462295,Erick Oliveira,Gerencia C,Noite,950657447
49231363247,Rebeca Ferreira,Manutenção A,Manhã,351188697
76771857700,Vitor Hugo Aragão,Equipe C,Noite,104317260
17167643785,Danilo Melo,Equipe A,Noite,965389871
69437647569,Laura Fernandes,Gerencia C,Manhã,472054560
05953366710,Beatriz Rocha,Equipe A,Manhã,42291051
29144568673,Sra. Marcela Fernandes,Manutenção A,Tarde,29731693
98392310730,Isabella Correia,Equipe A,Tarde,77109821
15505488323,Pietro Dias,Gerencia C,Tarde,816536080
01602972060,Dr. Marcelo da Rocha,Transporte A,Noite,753549245
26566732837,Sra. Evelyn Lopes,Equipe B,Manhã,864637716
20599111410,Carlos Eduardo Barbosa,Transporte A,Noite,228308556
29244817594,Renan Viana,Manutenção A,Tarde,538987695
33884333992,Gustavo Henrique Pires,Gerencia A,Noite,690689336
10619602694,Sra. Stephany Nunes,Gerencia C,Manhã,66606223
74709142777,Mariane Barros,Equipe B,Tarde,272389677
45868558863,Sophia da Paz,Gerencia C,Manhã,512498605
00050968394,Srta. Agatha Cardoso,Transporte A,Noite,868966982
76876097439,Ana Carolina Rezende,Equipe B,Noite,55205819
63149275369,Luiz Fernando Nascimento,Equipe D,Noite,765392981
26575872590,Isadora Costela,Gerencia A,Noite,014233735
48237958730,Isaac Porto,Equipe C,Manhã,062326652
26707542605,Nicolas Vieira,Gerencia A,Noite,225023809
38014069625,Carolina Nunes,Equipe C,Noite,35570276
47139476799,Enzo Gabriel Araújo,Equipe C,Tarde,57010136
21865144860,Bárbara Caldeira,Equipe C,Manhã,98426351
00005787203,Diogo da Conceição,Gerencia A,Manhã,492110532
27393613786,Nina Pereira,Gerencia B,Manhã,07514261
18523118942,Ana Laura Rocha,Equipe B,Manhã,89030018
09046221342,Srta. Sofia da Conceição,Gerencia A,Noite,733972833
86581149292,Bruno Gonçalves,Gerencia A,Tarde,241967696
92763195490,João Miguel Sales,Manutenção A,Tarde,662114407
78920676127,Davi Lucas Porto,Equipe B,Manhã,158775164
70290235367,Marcela Moreira,Gerencia C,Noite,65937360
20589841025,João Lucas Pereira,Equipe C,Noite,022106103
91748334646,Amanda Nogueira,Gerencia C,Tarde,74661686
77432001162,Agatha Costa,Gerencia B,Noite,47673955
45777259677,Gabrielly Correia,Gerencia B,Noite,932116529
83900203008,Laura Pinto,Equipe D,Tarde,628797874
18919678600,Sra. Ana Julia Moraes,Gerencia A,Tarde,935330495
59168804210,Caroline Alves,Equipe C,Tarde,81811934
35387900513,Helena Peixoto,Gerencia C,Tarde,69461510
41185313214,Lucas Gabriel Teixeira,Equipe B,Tarde,977804864
38154914522,Beatriz Aragão,Manutenção A,Tarde,086394896
33332739263,Daniela Monteiro,Equipe A,Manhã,595412791
97200721999,Caroline Cardoso,Gerencia A,Noite,902887343
09890974630,Benício Carvalho,Gerencia A,Noite,953384525
99584309595,Eduarda da Mota,Equipe C,Noite,91430883
04263073053,Dra. Maria Luiza Correia,Equipe D,Manhã,05792319
46955531204,Dra. Joana Farias,Gerencia C,Tarde,31899004
04740564904,Sr. Bruno Moura,Transporte A,Noite,66299138
09826930016,Vitor Hugo Gomes,Equipe C,Tarde,667326689
07667516600,Guilherme da Cruz,Gerencia A,Manhã,415460128
51848257201,Pietra Cunha,Equipe B,Noite,979643776
17991366200,Larissa Pinto,Manutenção A,Tarde,91079779
51120544688,Natália Moraes,Equipe D,Manhã,524462774
86225247602,Caroline Teixeira,Gerencia A,Tarde,61524445
07401589028,Lívia Caldeira,Equipe B,Manhã,318218687
60721290213,Vinicius da Cunha,Equipe B,Tarde,29375850
74918551726,Clarice das Neves,Equipe A,Noite,59211468
59811177708,Maitê da Conceição,Equipe D,Manhã,21708386
39985905288,Marcelo Costela,Equipe A,Noite,966849920
03935460201,Srta. Alícia Freitas,Gerencia B,Manhã,654206405
95691678825,Ana Beatriz Sales,Equipe C,Manhã,91211340
54583841809,Enzo Alves,Equipe D,Manhã,12615347
27402303110,João Lucas Pires,Gerencia B,Noite,94726270
50200850733,Davi Luiz Mendes,Equipe A,Noite,355712452
